mode_of_travel,origin_zone_name,destination_zone_name,day_type,day_part,data_period,o_d_traffic_sample_trip_counts,o_d_traffic_calibrated_trip_volume
All Vehicles - StL All Vehicles Sample Trip Counts,110226_0,110200_0,1: Weekday (Tu-Th),2: Peak AM (6am-9am),3. Dec-Feb,21,15.225
All Vehicles - StL All Vehicles Sample Trip Counts,110214_0,110200_0,2: Weekend Day (Sa-Su),0: All Day (12am-12am),3. Dec-Feb,4,4.64
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110144_0,1: Weekday (Tu-Th),0: All Day (12am-12am),3. Dec-Feb,10,7.25
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110190_0,0: All Days (Mo-Su),0: All Day (12am-12am),3. Dec-Feb,27,8.7
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110243_0,0: All Days (Mo-Su),0: All Day (12am-12am),3. Dec-Feb,11,3.5444444444444443
All Vehicles - StL All Vehicles Sample Trip Counts,110142_0,110200_0,1: Weekday (Tu-Th),0: All Day (12am-12am),3. Dec-Feb,10,7.25
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110188_0,0: All Days (Mo-Su),0: All Day (12am-12am),3. Dec-Feb,19,6.1222222222222218
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110087_0,0: All Days (Mo-Su),4: Peak PM (3pm-6pm),3. Dec-Feb,22,7.0888888888888886
All Vehicles - StL All Vehicles Sample Trip Counts,110195_0,110200_0,0: All Days (Mo-Su),3: Mid-Day (9am-3pm),3. Dec-Feb,15,4.833333333333333
All Vehicles - StL All Vehicles Sample Trip Counts,110206_0,110200_0,1: Weekday (Tu-Th),0: All Day (12am-12am),3. Dec-Feb,12,8.7
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110187_0,0: All Days (Mo-Su),0: All Day (12am-12am),3. Dec-Feb,17,5.4777777777777779
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110190_0,2: Weekend Day (Sa-Su),0: All Day (12am-12am),3. Dec-Feb,9,10.44
All Vehicles - StL All Vehicles Sample Trip Counts,110201_0,110200_0,2: Weekend Day (Sa-Su),0: All Day (12am-12am),3. Dec-Feb,8,9.28
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110119_0,0: All Days (Mo-Su),0: All Day (12am-12am),3. Dec-Feb,11,3.5444444444444443
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110117_0,0: All Days (Mo-Su),0: All Day (12am-12am),3. Dec-Feb,14,4.5111111111111111
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110200_0,2: Weekend Day (Sa-Su),4: Peak PM (3pm-6pm),3. Dec-Feb,4,4.64
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110149_0,0: All Days (Mo-Su),0: All Day (12am-12am),3. Dec-Feb,12,3.8666666666666667
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110171_0,0: All Days (Mo-Su),0: All Day (12am-12am),3. Dec-Feb,13,4.1888888888888891
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110205_1,2: Weekend Day (Sa-Su),0: All Day (12am-12am),3. Dec-Feb,7,8.12
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110193_0,2: Weekend Day (Sa-Su),0: All Day (12am-12am),3. Dec-Feb,7,8.12
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110189_1,1: Weekday (Tu-Th),0: All Day (12am-12am),3. Dec-Feb,12,8.7
All Vehicles - StL All Vehicles Sample Trip Counts,110274_0,110200_0,1: Weekday (Tu-Th),2: Peak AM (6am-9am),3. Dec-Feb,24,17.4
All Vehicles - StL All Vehicles Sample Trip Counts,110113_0,110200_0,0: All Days (Mo-Su),2: Peak AM (6am-9am),3. Dec-Feb,11,3.5444444444444443
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110206_0,0: All Days (Mo-Su),0: All Day (12am-12am),3. Dec-Feb,41,13.21111111111111
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110199_1,1: Weekday (Tu-Th),5: Late PM (6pm-12am),3. Dec-Feb,13,9.425
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110221_0,0: All Days (Mo-Su),0: All Day (12am-12am),3. Dec-Feb,13,4.1888888888888891
All Vehicles - StL All Vehicles Sample Trip Counts,110196_0,110200_0,1: Weekday (Tu-Th),0: All Day (12am-12am),3. Dec-Feb,24,17.4
All Vehicles - StL All Vehicles Sample Trip Counts,110139_0,110200_0,0: All Days (Mo-Su),0: All Day (12am-12am),3. Dec-Feb,14,4.5111111111111111
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110199_1,1: Weekday (Tu-Th),0: All Day (12am-12am),3. Dec-Feb,81,58.725
All Vehicles - StL All Vehicles Sample Trip Counts,110195_0,110200_0,1: Weekday (Tu-Th),0: All Day (12am-12am),3. Dec-Feb,23,16.675
All Vehicles - StL All Vehicles Sample Trip Counts,350796_0,110200_0,0: All Days (Mo-Su),0: All Day (12am-12am),3. Dec-Feb,10,3.2222222222222223
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110129_0,0: All Days (Mo-Su),0: All Day (12am-12am),3. Dec-Feb,11,3.5444444444444443
All Vehicles - StL All Vehicles Sample Trip Counts,110274_0,110200_0,1: Weekday (Tu-Th),0: All Day (12am-12am),3. Dec-Feb,27,19.575
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110195_0,0: All Days (Mo-Su),3: Mid-Day (9am-3pm),3. Dec-Feb,14,4.5111111111111111
All Vehicles - StL All Vehicles Sample Trip Counts,110080_0,110200_0,0: All Days (Mo-Su),2: Peak AM (6am-9am),3. Dec-Feb,32,10.311111111111112
All Vehicles - StL All Vehicles Sample Trip Counts,110177_0,110200_0,0: All Days (Mo-Su),0: All Day (12am-12am),3. Dec-Feb,12,3.8666666666666667
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110193_0,0: All Days (Mo-Su),3: Mid-Day (9am-3pm),3. Dec-Feb,22,7.0888888888888886
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110193_0,1: Weekday (Tu-Th),0: All Day (12am-12am),3. Dec-Feb,20,14.5
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110200_0,0: All Days (Mo-Su),3: Mid-Day (9am-3pm),3. Dec-Feb,156,50.266666666666666
All Vehicles - StL All Vehicles Sample Trip Counts,110183_0,110200_0,0: All Days (Mo-Su),3: Mid-Day (9am-3pm),3. Dec-Feb,10,3.2222222222222223
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110226_0,0: All Days (Mo-Su),0: All Day (12am-12am),3. Dec-Feb,37,11.922222222222222
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110199_1,2: Weekend Day (Sa-Su),4: Peak PM (3pm-6pm),3. Dec-Feb,9,10.44
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110130_0,0: All Days (Mo-Su),0: All Day (12am-12am),3. Dec-Feb,13,4.1888888888888891
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110205_1,0: All Days (Mo-Su),0: All Day (12am-12am),3. Dec-Feb,23,7.4111111111111114
All Vehicles - StL All Vehicles Sample Trip Counts,110199_1,110200_0,0: All Days (Mo-Su),3: Mid-Day (9am-3pm),3. Dec-Feb,46,14.822222222222223
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110271_0,2: Weekend Day (Sa-Su),0: All Day (12am-12am),3. Dec-Feb,7,8.12
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110139_0,0: All Days (Mo-Su),4: Peak PM (3pm-6pm),3. Dec-Feb,15,4.833333333333333
All Vehicles - StL All Vehicles Sample Trip Counts,110194_0,110200_0,1: Weekday (Tu-Th),0: All Day (12am-12am),3. Dec-Feb,26,18.85
All Vehicles - StL All Vehicles Sample Trip Counts,110143_0,110200_0,0: All Days (Mo-Su),0: All Day (12am-12am),3. Dec-Feb,11,3.5444444444444443
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110199_1,2: Weekend Day (Sa-Su),0: All Day (12am-12am),3. Dec-Feb,28,32.48
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110212_0,0: All Days (Mo-Su),0: All Day (12am-12am),3. Dec-Feb,12,3.8666666666666667
All Vehicles - StL All Vehicles Sample Trip Counts,110184_0,110200_0,0: All Days (Mo-Su),0: All Day (12am-12am),3. Dec-Feb,10,3.2222222222222223
All Vehicles - StL All Vehicles Sample Trip Counts,110201_0,110200_0,1: Weekday (Tu-Th),0: All Day (12am-12am),3. Dec-Feb,13,9.425
All Vehicles - StL All Vehicles Sample Trip Counts,570065_0,110200_0,0: All Days (Mo-Su),0: All Day (12am-12am),3. Dec-Feb,15,4.833333333333333
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110189_1,2: Weekend Day (Sa-Su),4: Peak PM (3pm-6pm),3. Dec-Feb,4,4.64
All Vehicles - StL All Vehicles Sample Trip Counts,110199_1,110200_0,0: All Days (Mo-Su),5: Late PM (6pm-12am),3. Dec-Feb,11,3.5444444444444443
All Vehicles - StL All Vehicles Sample Trip Counts,110199_1,110200_0,2: Weekend Day (Sa-Su),0: All Day (12am-12am),3. Dec-Feb,7,8.12
All Vehicles - StL All Vehicles Sample Trip Counts,110214_0,110200_0,1: Weekday (Tu-Th),0: All Day (12am-12am),3. Dec-Feb,9,6.525
All Vehicles - StL All Vehicles Sample Trip Counts,110183_0,110200_0,1: Weekday (Tu-Th),0: All Day (12am-12am),3. Dec-Feb,13,9.425
All Vehicles - StL All Vehicles Sample Trip Counts,570412_0,110200_0,1: Weekday (Tu-Th),0: All Day (12am-12am),3. Dec-Feb,10,7.25
All Vehicles - StL All Vehicles Sample Trip Counts,110142_0,110200_0,0: All Days (Mo-Su),0: All Day (12am-12am),3. Dec-Feb,14,4.5111111111111111
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110179_0,0: All Days (Mo-Su),0: All Day (12am-12am),3. Dec-Feb,12,3.8666666666666667
